lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lt3,rt1,rt2,rt3,time
0.000000, 1.245433, 1.989115, 0.402551, 0.023874, 1.540644, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 48956 
0.000000, 1.053799, 2.332078, 0.344147, 0.023252, 1.576899, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49006 
0.000000, 1.241602, 1.906216, 0.317821, 0.228077, 1.377852, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49056 
0.000000, 0.841664, 2.395145, 0.327065, 0.240978, 1.109821, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49106 
0.000000, 1.328749, 2.059317, 0.548006, 0.173666, 1.356377, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49156 
0.000000, 0.850672, 2.232994, 0.450625, 0.071858, 1.348305, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49206 
0.000000, 1.164886, 1.761384, 0.686720, 0.230834, 1.048276, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49256 
0.000000, 1.011322, 2.332948, 0.269954, 0.267120, 1.357927, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49306 
0.000000, 0.979715, 2.198936, 0.464322, 0.260028, 1.373443, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49356 
0.000000, 1.159154, 2.335461, 0.418241, 0.161487, 1.290164, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49406 
0.000000, 1.029209, 1.970480, 0.440546, 0.410955, 1.244880, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49456 
0.000000, 1.256564, 2.160319, 0.274489, 0.197478, 1.433612, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49506 
0.000000, 1.014957, 2.138844, 0.348385, 0.309264, 1.483364, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49556 
0.000000, 1.443202, 2.133598, 0.215761, 0.231667, 1.537425, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49606 
0.000000, 0.916797, 2.062803, 0.294068, 0.185049, 1.424172, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49656 
0.000000, 1.172937, 1.841877, 0.283231, 0.113307, 1.577644, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49706 
0.000000, 0.886400, 2.413569, 0.487042, 0.382076, 1.210473, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49756 
0.000000, 1.309089, 2.071496, 0.421150, 0.095494, 1.176762, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49806 
0.000000, 1.086160, 2.208743, 0.509156, 0.262492, 1.420366, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49856 
0.000000, 1.071202, 2.032191, 0.447134, 0.091449, 1.481990, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49906 
0.000000, 1.097449, 2.338582, 0.288343, 0.301193, 1.172583, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 49956 
0.000000, 1.161282, 2.040673, 0.275652, 0.146576, 1.413440, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50006 
0.000000, 1.228857, 1.761498, 0.383409, 0.459372, 1.521600, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50056 
0.000000, 0.955983, 2.268138, 0.526824, 0.034587, 1.381775, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50106 
0.000000, 1.133478, 2.020046, 0.515744, 0.119004, 1.334284, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50156 
0.000000, 0.836230, 2.206464, 0.326045, 0.212485, 1.539032, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50206 
0.000000, 1.253494, 2.123263, 0.472890, 0.541563, 1.520526, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50256 
0.000000, 0.958713, 2.115537, 0.403535, 0.077597, 1.548732, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50306 
0.000000, 1.316985, 1.813800, 0.341263, 0.205057, 1.484540, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50356 
0.000000, 0.918942, 2.333980, 0.201907, 0.158320, 1.629454, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50406 
0.000000, 1.229006, 2.243765, 0.508600, 0.296381, 1.307631, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 50456 
