lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lr3,rt1,rt2,rt3,time
0.000000, 0.000000, 1.054892, 1.253069, 0.000000, 0.078940, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2356 
0.000000, 0.000000, 1.281813, 0.932020, 0.000000, 0.967787, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2406 
0.000000, 0.000000, 0.955234, 0.735904, 0.000000, 0.296133, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2456 
0.000000, 0.000000, 1.251314, 0.736717, 0.000000, 0.348704, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2506 
0.000000, 0.000000, 1.119626, 0.919871, 0.000000, 0.306767, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2556 
0.000000, 0.000000, 1.152517, 0.635899, 0.000000, 0.483257, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2606 
0.000000, 0.000000, 1.218254, 1.398764, 0.000000, 0.357597, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2656 
0.000000, 0.000000, 1.186271, 0.772972, 0.000000, 0.475200, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2706 
0.000000, 0.000000, 1.183052, 0.845352, 0.000000, 0.221906, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2756 
0.000000, 0.000000, 1.028798, 0.796657, 0.000000, 0.281002, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2806 
0.000000, 0.000000, 1.267882, 1.433598, 0.000000, 0.459249, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2856 
0.000000, 0.000000, 1.034274, 0.708652, 0.000000, 0.490526, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2906 
0.000000, 0.000000, 1.263568, 0.767886, 0.000000, 0.359096, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 2956 
0.000000, 0.000000, 1.128439, 1.072437, 0.000000, 0.134137, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3006 
0.000000, 0.000000, 1.091131, 1.042670, 0.000000, 0.873488, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3056 
0.000000, 0.000000, 1.147864, 0.738995, 0.000000, 0.206423, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3106 
0.000000, 0.000000, 1.193565, 0.874005, 0.000000, 0.138101, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3156 
0.000000, 0.000000, 1.221094, 0.918580, 0.000000, 0.062378, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3206 
0.000000, 0.000000, 1.044298, 0.673080, 0.000000, 0.234099, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3256 
0.000000, 0.000000, 1.353648, 0.935447, 0.000000, 0.219999, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3306 
0.000000, 0.000000, 1.002219, 1.212272, 0.000000, 0.471806, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3356 
0.000000, 0.000000, 1.279565, 0.871749, 0.000000, 0.276345, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3406 
0.000000, 0.000000, 1.146381, 0.760636, 0.000000, 0.245753, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3456 
0.000000, 0.000000, 1.226281, 1.324315, 0.000000, 0.222546, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3506 
0.000000, 0.000000, 1.003882, 0.990643, 0.000000, 0.434268, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3556 
0.000000, 0.000000, 1.173110, 0.837676, 0.000000, 0.267685, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3606 
0.000000, 0.000000, 1.229316, 0.992742, 0.000000, 0.174314, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3656 
0.000000, 0.000000, 1.075653, 1.200448, 0.000000, 0.308754, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3706 
0.000000, 0.000000, 1.262777, 0.740260, 0.000000, 0.275888, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3756 
0.000000, 0.000000, 1.132845, 1.001708, 0.000000, 0.256527, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3806 
0.000000, 0.000000, 1.296728, 1.032516, 0.000000, 0.109352, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3856 
0.000000, 0.000000, 1.148469, 0.914414, 0.000000, 0.421356, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3906 
0.000000, 0.000000, 1.330930, 0.819274, 0.000000, 0.180928, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 3956 
0.000000, 0.000000, 1.073809, 1.408677, 0.000000, 0.668830, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 4006 
